Year	PRODUCTNDID	Category_1
2012	RNFD00228	Baby_Foods
2011	ND00102	Baby_Foods
2014	ND01842	Baby_Foods
2014	ND00084	Baby_Foods
2014	ND00073	Baby_Foods
2013	ND00166	Baby_Foods
2012	ND00166	Baby_Foods
2012	ND00165	Baby_Foods
2012	ND01842	Baby_Foods
2013	ND00165	Baby_Foods
2012	ND00188	Baby_Foods
2013	ND00188	Baby_Foods
2013	ND01842	Baby_Foods
2012	ND00071	Baby_Foods
2013	ND00071	Baby_Foods
2012	ND00084	Baby_Foods
2013	ND00084	Baby_Foods
2012	RNFD00197	Baby_Foods
2013	RNFD00197	Baby_Foods
2012	ND00085	Baby_Foods
2013	ND00085	Baby_Foods
2012	ND00073	Baby_Foods
2013	ND00073	Baby_Foods
2014	ND00183	Baby_Foods
2014	ND00169	Baby_Foods
2010	ND00085	Baby_Foods
2011	ND00085	Baby_Foods
2014	ND00085	Baby_Foods
2015	ND00110	Baby_Foods
2015	ND00109	Baby_Foods
2010	ND00071	Baby_Foods
2011	ND00071	Baby_Foods
2015	ND00127	Baby_Foods
2015	ND00128	Baby_Foods
2015	ND00114	Baby_Foods
2011	ND00111	Baby_Foods
2012	ND00111	Baby_Foods
2013	ND00111	Baby_Foods
2010	ND00084	Baby_Foods
2011	ND00084	Baby_Foods
2014	ND00111	Baby_Foods
2014	ND00112	Baby_Foods
2011	RNFD00243	Baby_Foods
2012	RNFD00243	Baby_Foods
2013	ND00112	Baby_Foods
2015	ND00131	Baby_Foods
2015	ND00132	Baby_Foods
2015	ND00136	Baby_Foods
2015	ND00133	Baby_Foods
2015	ND00116	Baby_Foods
2015	ND00117	Baby_Foods
2015	ND00123	Baby_Foods
2010	ND00073	Baby_Foods
2011	ND00073	Baby_Foods
2010	ND00188	Baby_Foods
2011	ND00188	Baby_Foods
2010	RNFD00228	Baby_Foods
2011	RNFD00228	Baby_Foods
2011	RNFD00199	Baby_Foods
2012	RNFD00199	Baby_Foods
2014	ND00141	Baby_Foods
2012	ND00148	Baby_Foods
2013	ND00148	Baby_Foods
2012	RNFD00250	Baby_Foods
2013	RNFD00250	Baby_Foods
2013	ND00141	Baby_Foods
2012	RNFD00251	Baby_Foods
2013	RNFD00251	Baby_Foods
2011	ND00151	Baby_Foods
2012	ND00151	Baby_Foods
2010	RNFD00251	Baby_Foods
2011	RNFD00251	Baby_Foods
2015	ND00141	Baby_Foods
2010	ND00148	Baby_Foods
2011	ND00148	Baby_Foods
2010	RNFD00257	Baby_Foods
2011	RNFD00257	Baby_Foods
2012	RNFD00257	Baby_Foods
2010	ND00151	Baby_Foods
2013	ND00151	Baby_Foods
2015	ND00143	Baby_Foods
2010	ND00141	Baby_Foods
2011	ND00141	Baby_Foods
2012	ND00141	Baby_Foods
2009	ND00148	Baby_Foods
2010	RNFD00260	Baby_Foods
2011	RNFD00260	Baby_Foods
2012	RNFD00260	Baby_Foods
2009	ND00188	Baby_Foods
2009	RNFD00227	Baby_Foods
2009	RNFD00224	Baby_Foods
2009	ND00165	Baby_Foods
2004	RNFD00262	Baby_Foods
2005	RNFD00262	Baby_Foods
2006	RNFD00262	Baby_Foods
2007	RNFD00262	Baby_Foods
2009	RNFD00228	Baby_Foods
2001	ND00102	Baby_Foods
2002	ND00102	Baby_Foods
2003	ND00102	Baby_Foods
2004	ND00102	Baby_Foods
2005	ND00102	Baby_Foods
2006	ND00102	Baby_Foods
2007	ND00102	Baby_Foods
2009	ND00102	Baby_Foods
2010	ND00102	Baby_Foods
2004	RNFD00201	Baby_Foods
2005	RNFD00201	Baby_Foods
2006	RNFD00201	Baby_Foods
2007	RNFD00201	Baby_Foods
2009	RNFD00201	Baby_Foods
2010	RNFD00201	Baby_Foods
2015	ND00144	Baby_Foods
2015	ND00138	Baby_Foods
2015	ND00152	Baby_Foods
2015	ND00140	Baby_Foods
2015	ND00145	Baby_Foods
2015	ND00150	Baby_Foods
2015	ND00147	Baby_Foods
2015	ND00157	Baby_Foods
2015	ND00158	Baby_Foods
2013	RNFD00270	Supplement
2014	RNFD00270	Supplement
2012	ND00746	Formulas
2013	ND00746	Formulas
2014	ND00746	Formulas
2015	ND00156	Baby_Foods
2009	ND01359	Sauces_Soups_Condiments_Dressing
2012	ND01359	Sauces_Soups_Condiments_Dressing
2013	ND01359	Sauces_Soups_Condiments_Dressing
2014	ND01359	Sauces_Soups_Condiments_Dressing
2015	ND00162	Baby_Foods
2010	ND01359	Sauces_Soups_Condiments_Dressing
2011	ND01359	Sauces_Soups_Condiments_Dressing
2007	ND00670	Fats_and_Oils
2012	ND00670	Fats_and_Oils
2013	ND00670	Fats_and_Oils
2014	ND00670	Fats_and_Oils
2009	ND00670	Fats_and_Oils
2010	ND00670	Fats_and_Oils
2011	ND00670	Fats_and_Oils
2009	ND00672	Fats_and_Oils
2012	ND00672	Fats_and_Oils
2013	ND00672	Fats_and_Oils
2014	ND00672	Fats_and_Oils
2015	ND00176	Baby_Foods
2010	ND00672	Fats_and_Oils
2011	ND00672	Fats_and_Oils
2012	ND00671	Fats_and_Oils
2013	ND00671	Fats_and_Oils
2014	ND00671	Fats_and_Oils
2015	ND00166	Baby_Foods
2007	ND00671	Fats_and_Oils
2009	ND00671	Fats_and_Oils
2010	ND00671	Fats_and_Oils
2011	ND00671	Fats_and_Oils
2006	RNFD00275	Fats_and_Oils
2007	RNFD00275	Fats_and_Oils
2009	RNFD00275	Fats_and_Oils
2004	RNFD00275	Fats_and_Oils
2005	RNFD00275	Fats_and_Oils
2006	RNFD00276	Fats_and_Oils
2007	RNFD00276	Fats_and_Oils
2009	RNFD00276	Fats_and_Oils
1997	RNFD00275	Fats_and_Oils
2000	RNFD00275	Fats_and_Oils
2001	RNFD00275	Fats_and_Oils
2002	RNFD00275	Fats_and_Oils
2003	RNFD00275	Fats_and_Oils
2009	ND01419	Sauces_Soups_Condiments_Dressing
2010	ND01419	Sauces_Soups_Condiments_Dressing
2011	ND01419	Sauces_Soups_Condiments_Dressing
2012	ND01419	Sauces_Soups_Condiments_Dressing
2013	ND01419	Sauces_Soups_Condiments_Dressing
2014	ND01419	Sauces_Soups_Condiments_Dressing
2015	ND00167	Baby_Foods
1997	RNFD00281	Fruits
2000	RNFD00281	Fruits
2001	RNFD00281	Fruits
2002	RNFD00281	Fruits
2003	RNFD00281	Fruits
2004	RNFD00281	Fruits
2005	RNFD00281	Fruits
2006	RNFD00281	Fruits
2007	RNFD00281	Fruits
2015	ND00165	Baby_Foods
2011	ND01631	Vegetables
2012	ND01631	Vegetables
2013	ND01631	Vegetables
2014	ND01631	Vegetables
2015	ND01842	Baby_Foods
2015	ND00183	Baby_Foods
2015	ND00169	Baby_Foods
2009	ND01220	Nuts_and_Seeds
2010	ND01220	Nuts_and_Seeds
2011	ND01220	Nuts_and_Seeds
2012	ND01220	Nuts_and_Seeds
2013	ND01220	Nuts_and_Seeds
2014	ND01220	Nuts_and_Seeds
2000	ND01071	Meats
2009	ND01071	Meats
2010	ND01071	Meats
2011	ND01071	Meats
2012	ND01071	Meats
2013	ND01071	Meats
2014	ND01071	Meats
2000	RNFD00291	Meats
2001	RNFD00291	Meats
2004	RNFD00291	Meats
2005	RNFD00291	Meats
2006	RNFD00291	Meats
2007	RNFD00291	Meats
2009	RNFD00291	Meats
2010	RNFD00291	Meats
2011	RNFD00291	Meats
2012	RNFD00291	Meats
2013	RNFD00291	Meats
2010	RNFD00292	Meats
2011	RNFD00292	Meats
2012	RNFD00292	Meats
2015	ND00196	Baby_Foods
2004	RNFD00292	Meats
2005	RNFD00292	Meats
2006	RNFD00292	Meats
2007	RNFD00292	Meats
2009	RNFD00292	Meats
2000	ND01072	Meats
2010	ND01072	Meats
2011	ND01072	Meats
2012	ND01072	Meats
2013	ND01072	Meats
2014	ND01072	Meats
2015	ND00173	Baby_Foods
2002	RNFD00291	Meats
2003	RNFD00291	Meats
2015	ND00178	Baby_Foods
2006	RNFD00298	Meats
2007	RNFD00298	Meats
2009	RNFD00298	Meats
2010	RNFD00298	Meats
2011	RNFD00298	Meats
2004	RNFD00298	Meats
2005	RNFD00298	Meats
2012	RNFD00299	Meats
2004	RNFD00301	Meats
2005	RNFD00301	Meats
2006	RNFD00301	Meats
2007	RNFD00301	Meats
2009	RNFD00301	Meats
2010	RNFD00301	Meats
2001	RNFD00302	Meats
2002	RNFD00302	Meats
2003	RNFD00302	Meats
2000	RNFD00302	Meats
2004	RNFD00302	Meats
2005	RNFD00302	Meats
2006	RNFD00302	Meats
2007	RNFD00302	Meats
2009	RNFD00302	Meats
2010	RNFD00302	Meats
2011	RNFD00302	Meats
2012	RNFD00302	Meats
2013	RNFD00302	Meats
2015	ND00174	Baby_Foods
2013	ND01079	Meats
2014	ND01079	Meats
2015	ND00184	Baby_Foods
2011	ND00371	Dairy_and_Egg
2012	ND00371	Dairy_and_Egg
2014	ND00371	Dairy_and_Egg
2015	ND00182	Baby_Foods
2012	ND01065	Meats
2013	ND01065	Meats
2014	ND01065	Meats
2015	ND00175	Baby_Foods
2015	ND00191	Baby_Foods
2004	RNFD00310	Meats
2005	RNFD00310	Meats
2006	RNFD00310	Meats
2007	RNFD00310	Meats
2009	RNFD00310	Meats
2010	RNFD00310	Meats
2011	RNFD00310	Meats
2012	RNFD00310	Meats
2009	RNFD00313	Meats
2010	RNFD00313	Meats
2011	RNFD00313	Meats
2012	RNFD00313	Meats
2013	RNFD00313	Meats
2006	ND01268	Nuts_and_Seeds
2007	ND01268	Nuts_and_Seeds
2009	ND01268	Nuts_and_Seeds
2010	ND01268	Nuts_and_Seeds
2011	ND01268	Nuts_and_Seeds
2012	ND01268	Nuts_and_Seeds
2013	ND01268	Nuts_and_Seeds
2014	ND01268	Nuts_and_Seeds
2015	ND00195	Baby_Foods
2014	ND01269	Nuts_and_Seeds
2013	ND01269	Nuts_and_Seeds
2013	ND01267	Nuts_and_Seeds
2014	ND01267	Nuts_and_Seeds
2015	ND00177	Baby_Foods
2010	ND01234	Nuts_and_Seeds
2011	ND01234	Nuts_and_Seeds
2012	ND01234	Nuts_and_Seeds
2013	ND01234	Nuts_and_Seeds
2014	ND01234	Nuts_and_Seeds
2009	RNFD00318	Nuts_and_Seeds
2015	ND00186	Baby_Foods
1997	RNFD00324	Dairy_and_Egg
2000	RNFD00324	Dairy_and_Egg
2001	RNFD00324	Dairy_and_Egg
2002	RNFD00324	Dairy_and_Egg
2003	RNFD00324	Dairy_and_Egg
2009	RNFD00326	Dairy_and_Egg
2010	ND00350	Dairy_and_Egg
2011	ND00350	Dairy_and_Egg
1997	ND00350	Dairy_and_Egg
2000	ND00350	Dairy_and_Egg
2001	ND00350	Dairy_and_Egg
2002	ND00350	Dairy_and_Egg
2003	ND00350	Dairy_and_Egg
2004	ND00350	Dairy_and_Egg
2005	ND00350	Dairy_and_Egg
2006	ND00350	Dairy_and_Egg
2007	ND00350	Dairy_and_Egg
2009	ND00350	Dairy_and_Egg
2013	ND00464	Dairy_and_Egg
2014	ND00464	Dairy_and_Egg
2010	ND00464	Dairy_and_Egg
2011	ND00464	Dairy_and_Egg
2012	ND00464	Dairy_and_Egg
2012	ND00350	Dairy_and_Egg
2013	ND00350	Dairy_and_Egg
2014	ND00350	Dairy_and_Egg
1997	ND00464	Dairy_and_Egg
2000	ND00464	Dairy_and_Egg
2001	ND00464	Dairy_and_Egg
2002	ND00464	Dairy_and_Egg
2003	ND00464	Dairy_and_Egg
2004	ND00464	Dairy_and_Egg
2005	ND00464	Dairy_and_Egg
2006	ND00464	Dairy_and_Egg
2007	ND00464	Dairy_and_Egg
2009	ND00464	Dairy_and_Egg
2009	ND01553	Sweets
2010	ND01553	Sweets
2011	ND01553	Sweets
2012	ND01553	Sweets
2013	ND01553	Sweets
2014	ND01553	Sweets
1997	ND01127	Meats
2000	ND01127	Meats
2001	ND01127	Meats
2002	ND01127	Meats
2003	ND01127	Meats
2004	ND01127	Meats
2005	ND01127	Meats
2006	ND01127	Meats
2007	ND01127	Meats
2009	ND01127	Meats
2010	ND01127	Meats
2011	ND01127	Meats
2012	ND01127	Meats
2013	ND01127	Meats
2014	ND01127	Meats
2009	ND01436	Seafood
2010	ND01436	Seafood
2011	ND01436	Seafood
2012	ND01436	Seafood
2014	ND01436	Seafood
2001	RNFD00341	Meats
1997	RNFD00341	Meats
2000	RNFD00341	Meats
1997	RNFD00345	Meats
2000	RNFD00345	Meats
2001	RNFD00345	Meats
2002	RNFD00345	Meats
2003	RNFD00345	Meats
2004	RNFD00345	Meats
2005	RNFD00345	Meats
2007	RNFD00345	Meats
2004	RNFD00349	Seafood
2005	RNFD00349	Seafood
2006	RNFD00349	Seafood
2007	RNFD00349	Seafood
2004	RNFD00350	Seafood
2005	RNFD00350	Seafood
2006	RNFD00350	Seafood
2007	RNFD00350	Seafood
2009	RNFD00350	Seafood
2010	RNFD00350	Seafood
2011	RNFD00350	Seafood
2004	RNFD00353	Seafood
2005	RNFD00353	Seafood
2006	RNFD00353	Seafood
2007	RNFD00353	Seafood
2009	RNFD00353	Seafood
2010	RNFD00353	Seafood
2011	RNFD00353	Seafood
2014	ND01459	Seafood
2011	ND01459	Seafood
2012	ND01459	Seafood
2014	ND01432	Seafood
2004	ND01432	Seafood
2005	ND01432	Seafood
2006	ND01432	Seafood
2007	ND01432	Seafood
2009	ND01432	Seafood
2010	ND01432	Seafood
2011	ND01432	Seafood
2012	ND01432	Seafood
2009	ND01450	Seafood
2010	ND01450	Seafood
2014	ND01450	Seafood
2015	ND00228	Beverages
2004	ND01450	Seafood
2005	ND01450	Seafood
2006	ND01450	Seafood
2007	ND01450	Seafood
2011	ND01450	Seafood
2012	ND01450	Seafood
2002	RNFD00356	Seafood
2003	RNFD00356	Seafood
1997	RNFD00356	Seafood
2000	RNFD00356	Seafood
2001	RNFD00356	Seafood
2004	ND01459	Seafood
2005	ND01459	Seafood
2006	ND01459	Seafood
2007	ND01459	Seafood
2009	ND01459	Seafood
2010	ND01459	Seafood
2001	RNFD00358	Meats
2002	RNFD00358	Meats
2003	RNFD00358	Meats
2004	RNFD00359	Meats
2005	RNFD00359	Meats
2006	RNFD00359	Meats
2007	RNFD00359	Meats
2009	RNFD00359	Meats
2010	RNFD00359	Meats
2001	ND01479	Vegetables
2010	ND01479	Vegetables
2011	ND01479	Vegetables
2012	ND01479	Vegetables
2002	ND01479	Vegetables
2003	ND01479	Vegetables
2004	ND01479	Vegetables
2005	ND01479	Vegetables
2006	ND01479	Vegetables
2007	ND01479	Vegetables
2009	ND01479	Vegetables
2013	ND01479	Vegetables
2014	ND01479	Vegetables
2002	RNFD00361	Vegetables
2003	RNFD00361	Vegetables
2004	RNFD00361	Vegetables
2005	RNFD00361	Vegetables
2006	RNFD00361	Vegetables
2007	RNFD00361	Vegetables
2009	RNFD00361	Vegetables
1997	RNFD00363	Vegetables
2000	RNFD00363	Vegetables
2014	ND01214	Meats
2013	ND01214	Meats
2009	ND00581	Dairy_and_Egg
2010	ND00581	Dairy_and_Egg
2011	ND00581	Dairy_and_Egg
2012	ND00581	Dairy_and_Egg
2013	ND00581	Dairy_and_Egg
2014	ND00581	Dairy_and_Egg
2009	ND00584	Dairy_and_Egg
2010	ND00584	Dairy_and_Egg
2011	ND00584	Dairy_and_Egg
2012	ND00584	Dairy_and_Egg
2013	ND00584	Dairy_and_Egg
2014	ND00584	Dairy_and_Egg
2009	RNFD00380	Dairy_and_Egg
2010	RNFD00380	Dairy_and_Egg
2011	RNFD00380	Dairy_and_Egg
2012	RNFD00380	Dairy_and_Egg
2015	ND00256	Beverages
2015	ND00257	Beverages
1997	ND00257	Beverages
2000	ND00257	Beverages
2001	ND00257	Beverages
2002	ND00257	Beverages
2003	ND00257	Beverages
2004	ND00257	Beverages
2005	ND00257	Beverages
2006	ND00257	Beverages
2007	ND00257	Beverages
2009	ND00257	Beverages
2010	ND00257	Beverages
2011	ND00257	Beverages
2012	ND00257	Beverages
2013	ND00257	Beverages
2014	ND00257	Beverages
2015	ND00462	Beverages
2001	ND01432	Seafood
2006	RNFD00401	Meats
2007	RNFD00401	Meats
2009	RNFD00401	Meats
2010	RNFD00401	Meats
2011	RNFD00401	Meats
2012	RNFD00401	Meats
2015	ND00271	Beverages
2015	ND00281	Beverages
2009	RNFD00403	Fruits
2010	RNFD00403	Fruits
2011	RNFD00403	Fruits
2012	RNFD00403	Fruits
2013	RNFD00403	Fruits
2013	ND01081	Meats
2014	ND01081	Meats
2001	RNFD00408	Beverages
2002	ND00926	Grains
2003	ND00926	Grains
2004	ND00878	Grains
2005	ND00878	Grains
2006	ND00878	Grains
2007	ND00878	Grains
2009	ND00878	Grains
2010	RNFD00413	Grains
2011	RNFD00413	Grains
2012	RNFD00413	Grains
2013	RNFD00413	Grains
2014	RNFD00413	Grains
2004	ND00935	Grains
2005	ND00935	Grains
2006	ND00935	Grains
2007	ND00935	Grains
2009	ND00935	Grains
2010	ND00935	Grains
2013	ND00935	Grains
2014	ND00935	Grains
2001	ND00935	Grains
2002	ND00935	Grains
2003	ND00935	Grains
2011	ND00935	Grains
2012	ND00935	Grains
2015	ND00296	Beverages
2015	ND00299	Beverages
2015	ND00305	Beverages
2009	ND01451	Seafood
2010	ND01451	Seafood
2001	RNFD00428	Seafood
2002	RNFD00428	Seafood
2003	RNFD00428	Seafood
2004	RNFD00429	Seafood
2005	RNFD00429	Seafood
2006	RNFD00429	Seafood
2007	RNFD00429	Seafood
2009	RNFD00429	Seafood
2010	RNFD00429	Seafood
2011	RNFD00429	Seafood
2014	ND01426	Seafood
2004	RNFD00435	Seafood
2005	RNFD00435	Seafood
2006	RNFD00435	Seafood
2007	RNFD00435	Seafood
2009	RNFD00435	Seafood
2010	RNFD00435	Seafood
2011	RNFD00435	Seafood
2012	RNFD00435	Seafood
2002	ND01451	Seafood
2003	ND01451	Seafood
2014	ND01451	Seafood
2015	ND00321	Dairy_and_Egg
2011	ND01451	Seafood
2012	ND01451	Seafood
2001	ND01451	Seafood
2015	ND00316	Dairy_and_Egg
2011	ND01208	Meats
2012	ND01208	Meats
2013	ND01208	Meats
2014	ND01208	Meats
2001	ND01208	Meats
2002	ND01208	Meats
2003	ND01208	Meats
2004	ND01208	Meats
2005	ND01208	Meats
2006	ND01208	Meats
2007	ND01208	Meats
2009	ND01208	Meats
2010	ND01208	Meats
1997	ND01451	Seafood
2000	ND01451	Seafood
2015	ND00322	Dairy_and_Egg
2015	ND00320	Dairy_and_Egg
2009	RNFD00448	Dairy_and_Egg
2010	RNFD00448	Dairy_and_Egg
2011	RNFD00448	Dairy_and_Egg
2012	RNFD00448	Dairy_and_Egg
2015	ND00339	Dairy_and_Egg
2015	ND00340	Dairy_and_Egg
2015	ND00331	Dairy_and_Egg
2002	ND01611	Sauces_Soups_Condiments_Dressing
2003	ND01611	Sauces_Soups_Condiments_Dressing
2015	ND00330	Dairy_and_Egg
2015	ND00341	Dairy_and_Egg
2014	ND00855	Grains
2009	ND00855	Grains
2010	ND00855	Grains
2011	ND00855	Grains
2012	ND00855	Grains
2013	ND00855	Grains
2003	ND01360	Sauces_Soups_Condiments_Dressing
2004	ND01360	Sauces_Soups_Condiments_Dressing
2005	ND01360	Sauces_Soups_Condiments_Dressing
2006	ND01360	Sauces_Soups_Condiments_Dressing
2007	ND01360	Sauces_Soups_Condiments_Dressing
2009	ND01360	Sauces_Soups_Condiments_Dressing
2010	ND01360	Sauces_Soups_Condiments_Dressing
2011	ND01360	Sauces_Soups_Condiments_Dressing
2012	ND01360	Sauces_Soups_Condiments_Dressing
2013	ND01360	Sauces_Soups_Condiments_Dressing
2014	ND01360	Sauces_Soups_Condiments_Dressing
2015	ND00332	Dairy_and_Egg
2004	RNFD00455	Vegetables
2005	RNFD00455	Vegetables
2006	RNFD00455	Vegetables
2007	RNFD00455	Vegetables
2009	RNFD00455	Vegetables
2015	ND00335	Dairy_and_Egg
2015	ND00334	Dairy_and_Egg
2015	ND00336	Dairy_and_Egg
2015	ND00337	Dairy_and_Egg
2015	ND00338	Dairy_and_Egg
2015	ND00343	Dairy_and_Egg
2015	ND00344	Dairy_and_Egg
2006	ND00673	Fats_and_Oils
2007	ND00673	Fats_and_Oils
2009	ND00673	Fats_and_Oils
2010	ND00673	Fats_and_Oils
2011	ND00673	Fats_and_Oils
2012	ND00673	Fats_and_Oils
2013	ND00673	Fats_and_Oils
2014	ND00673	Fats_and_Oils
2015	ND00347	Dairy_and_Egg
2015	ND00350	Dairy_and_Egg
2015	ND00351	Dairy_and_Egg
2015	ND00366	Dairy_and_Egg
2015	ND00361	Dairy_and_Egg
2002	ND01390	Sauces_Soups_Condiments_Dressing
2003	ND01390	Sauces_Soups_Condiments_Dressing
2004	ND01390	Sauces_Soups_Condiments_Dressing
2005	ND01390	Sauces_Soups_Condiments_Dressing
2006	ND01390	Sauces_Soups_Condiments_Dressing
2007	ND01390	Sauces_Soups_Condiments_Dressing
2009	ND01390	Sauces_Soups_Condiments_Dressing
2010	ND01390	Sauces_Soups_Condiments_Dressing
2011	ND01390	Sauces_Soups_Condiments_Dressing
2012	ND01390	Sauces_Soups_Condiments_Dressing
2013	ND01390	Sauces_Soups_Condiments_Dressing
2014	ND01390	Sauces_Soups_Condiments_Dressing
2015	ND00360	Dairy_and_Egg
2001	ND01390	Sauces_Soups_Condiments_Dressing
2015	ND00367	Dairy_and_Egg
2013	ND00889	Grains
2014	ND00889	Grains
2015	ND00357	Dairy_and_Egg
2015	ND00363	Dairy_and_Egg
2009	RNFD00462	Supplement
2010	RNFD00462	Supplement
2011	RNFD00462	Supplement
2012	RNFD00462	Supplement
2013	RNFD00462	Supplement
2014	RNFD00462	Supplement
2006	ND00620	Fats_and_Oils
2007	ND00620	Fats_and_Oils
2009	ND00620	Fats_and_Oils
2010	ND00620	Fats_and_Oils
2011	ND00620	Fats_and_Oils
2012	ND00620	Fats_and_Oils
1997	ND00622	Fats_and_Oils
2000	ND00622	Fats_and_Oils
2001	ND00622	Fats_and_Oils
2002	ND00622	Fats_and_Oils
2003	ND00622	Fats_and_Oils
2004	ND00622	Fats_and_Oils
2005	ND00622	Fats_and_Oils
2006	ND00622	Fats_and_Oils
2007	ND00622	Fats_and_Oils
2009	ND00622	Fats_and_Oils
1997	RNFD00469	Dairy_and_Egg
2000	RNFD00469	Dairy_and_Egg
2015	ND00364	Dairy_and_Egg
1997	ND00373	Dairy_and_Egg
2000	ND00373	Dairy_and_Egg
2001	ND00373	Dairy_and_Egg
2013	ND00373	Dairy_and_Egg
2014	ND00373	Dairy_and_Egg
2010	ND00373	Dairy_and_Egg
2011	ND00373	Dairy_and_Egg
2012	ND00373	Dairy_and_Egg
1997	RNFD00475	Meats
2000	RNFD00475	Meats
2001	RNFD00475	Meats
2002	RNFD00475	Meats
2003	RNFD00475	Meats
2004	RNFD00475	Meats
2015	ND00368	Dairy_and_Egg
2012	ND00644	Fats_and_Oils
2013	ND00644	Fats_and_Oils
2015	ND00371	Dairy_and_Egg
2004	ND00626	Fats_and_Oils
2005	ND00626	Fats_and_Oils
2007	ND00626	Fats_and_Oils
2009	ND00626	Fats_and_Oils
2010	ND00626	Fats_and_Oils
2011	ND00626	Fats_and_Oils
2012	ND00626	Fats_and_Oils
2013	ND00626	Fats_and_Oils
2014	ND00626	Fats_and_Oils
2015	ND00372	Dairy_and_Egg
2015	ND00373	Dairy_and_Egg
2015	ND00376	Dairy_and_Egg
1997	RNFD00488	Fats_and_Oils
2000	RNFD00488	Fats_and_Oils
2001	RNFD00488	Fats_and_Oils
2002	RNFD00488	Fats_and_Oils
2003	RNFD00488	Fats_and_Oils
2012	ND00645	Fats_and_Oils
2013	ND00645	Fats_and_Oils
2014	ND00645	Fats_and_Oils
2015	ND00377	Dairy_and_Egg
2004	RNFD00488	Fats_and_Oils
2005	RNFD00488	Fats_and_Oils
2006	RNFD00488	Fats_and_Oils
2007	RNFD00488	Fats_and_Oils
2002	ND00644	Fats_and_Oils
2003	ND00644	Fats_and_Oils
2004	ND00644	Fats_and_Oils
2014	ND00644	Fats_and_Oils
2015	ND00588	Dairy_and_Egg
2005	ND00644	Fats_and_Oils
2006	ND00644	Fats_and_Oils
2007	ND00644	Fats_and_Oils
2009	ND00644	Fats_and_Oils
2010	ND00644	Fats_and_Oils
2011	ND00644	Fats_and_Oils
1997	ND00644	Fats_and_Oils
2000	ND00644	Fats_and_Oils
2001	ND00644	Fats_and_Oils
2009	ND00645	Fats_and_Oils
2010	ND00645	Fats_and_Oils
2011	ND00645	Fats_and_Oils
2009	RNFD00497	Dairy_and_Egg
2013	RNFD00499	Fruits
2015	ND00589	Dairy_and_Egg
2015	ND00378	Dairy_and_Egg
2010	ND00446	Dairy_and_Egg
2011	ND00446	Dairy_and_Egg
2012	ND00446	Dairy_and_Egg
2013	ND00446	Dairy_and_Egg
2014	ND00446	Dairy_and_Egg
2015	ND00379	Dairy_and_Egg
2009	ND00446	Dairy_and_Egg
2010	ND00271	Beverages
2011	ND00271	Beverages
2012	ND00271	Beverages
2013	ND00271	Beverages
2014	ND00271	Beverages
2014	ND00281	Beverages
2015	ND00397	Dairy_and_Egg
2000	ND00271	Beverages
2001	ND00271	Beverages
2002	ND00271	Beverages
2003	ND00271	Beverages
2004	ND00271	Beverages
2005	ND00271	Beverages
2006	ND00271	Beverages
2007	ND00271	Beverages
2009	ND00271	Beverages
2003	ND00281	Beverages
2004	ND00281	Beverages
2005	ND00281	Beverages
2006	ND00281	Beverages
2007	ND00281	Beverages
2009	ND00281	Beverages
2014	ND01166	Meats
2015	ND00399	Dairy_and_Egg
2015	ND00401	Dairy_and_Egg
2015	ND00404	Dairy_and_Egg
2013	RNFD00523	Supplement
2014	RNFD00523	Supplement
2004	ND00465	Dairy_and_Egg
2005	ND00465	Dairy_and_Egg
2012	ND00465	Dairy_and_Egg
2013	ND00465	Dairy_and_Egg
2014	ND00465	Dairy_and_Egg
2006	ND00465	Dairy_and_Egg
2007	ND00465	Dairy_and_Egg
2009	ND00465	Dairy_and_Egg
2010	ND00465	Dairy_and_Egg
2011	ND00465	Dairy_and_Egg
2015	ND00410	Dairy_and_Egg
2009	RNFD00527	Dairy_and_Egg
2009	RNFD00528	Dairy_and_Egg
2015	ND00409	Dairy_and_Egg
2013	ND00522	Dairy_and_Egg
2014	ND00522	Dairy_and_Egg
2015	ND00407	Dairy_and_Egg
2015	ND00408	Dairy_and_Egg
2009	ND00518	Dairy_and_Egg
2010	ND00518	Dairy_and_Egg
2011	ND00518	Dairy_and_Egg
2012	ND00518	Dairy_and_Egg
2013	ND00518	Dairy_and_Egg
2014	ND00518	Dairy_and_Egg
2010	RNFD00530	Dairy_and_Egg
2011	RNFD00530	Dairy_and_Egg
2012	RNFD00530	Dairy_and_Egg
2010	RNFD00531	Dairy_and_Egg
2011	RNFD00531	Dairy_and_Egg
2012	RNFD00531	Dairy_and_Egg
2009	RNFD00530	Dairy_and_Egg
2009	RNFD00531	Dairy_and_Egg
2014	ND00552	Dairy_and_Egg
2015	ND00411	Dairy_and_Egg
2015	ND00414	Dairy_and_Egg
2014	ND00555	Dairy_and_Egg
2015	ND00419	Dairy_and_Egg
2015	ND00420	Dairy_and_Egg
2014	ND00559	Dairy_and_Egg
2015	ND00421	Dairy_and_Egg
2014	ND00560	Dairy_and_Egg
2014	ND00562	Dairy_and_Egg
2015	ND00434	Dairy_and_Egg
2014	ND00550	Dairy_and_Egg
2014	ND00556	Dairy_and_Egg
2014	ND00558	Dairy_and_Egg
2014	ND00565	Dairy_and_Egg
2014	ND00563	Dairy_and_Egg
2009	ND00474	Dairy_and_Egg
2010	ND00474	Dairy_and_Egg
2011	ND00474	Dairy_and_Egg
2012	ND00474	Dairy_and_Egg
2013	ND00474	Dairy_and_Egg
2014	ND00474	Dairy_and_Egg
