"","PRODUCTNDID","X203","X204","X205","X207","X208","X209","X210","X211","X212","X213","X214","X221","X255","X257","X262","X263","X268","X269","X287","X291","X301","X303","X304","X305","X306","X307","X309","X312","X313","X315","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X328","X334","X337","X338","X341","X342","X343","X344","X345","X346","X347","X401","X404","X405","X406","X410","X415","X417","X418","X421","X428","X429","X430","X431","X432","X435","X454","X501","X502","X503","X504","X505","X506","X507","X508","X509","X510","X511","X512","X513","X514","X515","X516","X517","X518","X521","X573","X578","X601","X605","X606","X607","X608","X609","X610","X611","X612","X613","X614","X615","X617","X618","X619","X620","X621","X624","X625","X626","X627","X628","X629","X630","X631","X636","X638","X639","X641","X645","X646","X652","X653","X654","X662","X663","X664","X665","X666","X669","X670","X671","X672","X673","X674","X675","X676","X685","X687","X689","X693","X695","X696","X697","X851","X852","X853","X855","X856","X857","X858","X859","CHOdec","CHOdec2"
"461","ND01379",8.14,0.57,4.93,15.21,53,NA,0.1,0.3,0,0,0,0,71.15,NA,0,0,222,0.4,0,0.8,0.033,0.00145,0.074,0.166,0.435,5.493,0.00087,4.3e-05,NA,0.001018,5e-07,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3.3e-05,0.000165,0.002196,0.000297,0.000148,1.4e-05,0,0.0183,NA,NA,0,0,1.4e-05,1.4e-05,0.0298,0.096,0.271,0.318,0.537,0.381,0.097,0.118,0.353,0.244,0.332,0.463,0.174,0.294,0.719,1.579,0.297,0.493,0.388,NA,0,0,0,0,0.073,0,0,0,0,0,0,0.058,0.007,NA,0.08,0.234,0.029,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0.088,0.263,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,4.93,4.93
"462","ND01380",1,16.7,13.3,1.96,211,NA,NA,NA,NA,NA,NA,0,67,NA,0,0,883,4.25,NA,0.5,0.026,0.00025,0.006,0.017,0.068,0.667,0.00012,2.3e-05,NA,0.000107,9e-07,0.004125,3e-06,1.1e-05,6.7e-05,1.5e-05,0.00168,6e-04,NA,NA,0,3.5e-05,0,5.5e-05,NA,NA,NA,NA,NA,NA,NA,0.0023,1.6e-05,2.9e-05,9.3e-05,7.3e-05,4.4e-05,5e-06,2e-08,0.008,NA,NA,5.04e-05,0,5e-06,5e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.007,NA,3.333,0,0,0,0,0,0.001,2.234,0.939,NA,3.565,7.96,1.069,0.003,0.011,NA,NA,0.003,0,0.037,0,0,0,NA,NA,NA,NA,3.605,9.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.175,14.175
"463","ND01383",1.39,1.61,7.43,1.7,50,0,0.41,2.23,2.26,0,0,0,87.87,NA,0,0,208,4.91,0,1.8,0.026,0.00073,0.018,0.034,0.32,0.437,2e-04,8.2e-05,NA,0.000127,1.4e-06,0.015425,0,3.1e-05,0.00037,0,0.0024,0,NA,NA,0,0,0.012717,0.000176,NA,NA,NA,NA,NA,NA,NA,0.002,2.4e-05,6.1e-05,0.003917,7.6e-05,0.000173,1.3e-05,0,0.0137,NA,NA,1.39e-05,0,1.3e-05,1.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.002,0.007,0.218,0.003,0,0.002,0.003,0.002,0.003,0.141,0.053,0.004,0.288,0.591,0.082,0.001,0,0.004,0,0.003,0,0.006,0,0,0,NA,NA,NA,NA,0.298,0.673,0.001,0.002,0.002,0,0.001,0,0.006,NA,NA,0.001,0,0.001,0.003,0.287,0.584,0,0,0.001,0,0.001,0.006,NA,0,0.082,0,0,NA,NA,NA,0,NA,7.4875,7.4875
"464","ND01384",1.2,0.3,5.31,1.92,24,NA,0.07,1.82,1.67,0,0,0,91.28,NA,0,0,102,3.56,0,1.5,0.014,0.00096,0.015,0.027,0.297,0.011,0.00022,0.000115,3.49e-05,0.000113,6e-07,0.010875,0,2.2e-05,0.000259,0,0.00144,0,NA,NA,0,3e-06,0.013895,2.4e-05,2e-05,1e-04,0,NA,NA,NA,NA,0.007,2.4e-05,6.5e-05,0.000991,0.000309,9.8e-05,9e-06,0,0.0099,NA,0,2.8e-06,0,9e-06,9e-06,8e-04,0.009,0.037,0.025,0.034,0.037,0.008,0.013,0.036,0.018,0.025,0.028,0.02,0.037,0.183,0.586,0.026,0.021,0.035,NA,0,0,0,0,0.041,0,0,0,0,0,0,0.031,0.011,NA,0.043,0.115,0.006,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.044,0.121,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,5.31,5.31
"465","ND01386",1.2,0.3,5.31,1.92,24,NA,0.07,1.82,1.67,0,0,0,91.28,NA,0,0,102,3.56,0,1.5,0.014,0.00096,0.015,0.027,0.297,0.011,0.00022,0.000115,3.49e-05,0.000113,6e-07,0.010875,0,2.2e-05,0.000259,0,0.00144,0,NA,NA,0,3e-06,0.013895,2.4e-05,2e-05,1e-04,0,NA,NA,NA,NA,0.007,2.4e-05,6.5e-05,0.000991,0.000309,9.8e-05,9e-06,0,0.0099,NA,0,2.8e-06,0,9e-06,9e-06,8e-04,0.009,0.037,0.025,0.034,0.037,0.008,0.013,0.036,0.018,0.025,0.028,0.02,0.037,0.183,0.586,0.026,0.021,0.035,NA,0,0,0,0,0.041,0,0,0,0,0,0,0.031,0.011,NA,0.043,0.115,0.006,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.044,0.121,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,5.31,5.31
"466","ND01387",1.2,0.3,5.31,1.92,24,NA,0.07,1.82,1.67,0,0,0,91.28,NA,0,0,102,3.56,0,1.5,0.014,0.00096,0.015,0.027,0.297,0.011,0.00022,0.000115,3.49e-05,0.000113,6e-07,0.010875,0,2.2e-05,0.000259,0,0.00144,0,NA,NA,0,3e-06,0.013895,2.4e-05,2e-05,1e-04,0,NA,NA,NA,NA,0.007,2.4e-05,6.5e-05,0.000991,0.000309,9.8e-05,9e-06,0,0.0099,NA,0,2.8e-06,0,9e-06,9e-06,8e-04,0.009,0.037,0.025,0.034,0.037,0.008,0.013,0.036,0.018,0.025,0.028,0.02,0.037,0.183,0.586,0.026,0.021,0.035,NA,0,0,0,0,0.041,0,0,0,0,0,0,0.031,0.011,NA,0.043,0.115,0.006,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.044,0.121,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,5.31,5.31
"467","ND01389",1.2,0.3,5.31,1.92,24,NA,0.07,1.82,1.67,0,0,0,91.28,NA,0,0,102,3.56,0,1.5,0.014,0.00096,0.015,0.027,0.297,0.474,0.00022,0.000115,3.49e-05,0.000113,6e-07,0.010875,0,2.2e-05,0.000259,0,0.00144,0,NA,NA,0,3e-06,0.013895,2.4e-05,2e-05,1e-04,0,NA,NA,NA,NA,0.007,2.4e-05,6.5e-05,0.000991,0.000309,9.8e-05,9e-06,0,0.0099,NA,0,2.8e-06,0,9e-06,9e-06,8e-04,0.01,0.041,0.027,0.038,0.041,0.008,0.014,0.04,0.02,0.027,0.031,0.022,0.041,0.202,0.645,0.029,0.023,0.039,NA,0,0,0,0,0.041,0,0,0,0,0,0,0.031,0.011,NA,0.043,0.115,0.005,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.045,0.121,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,5.31,5.31
"468","ND01390",1.2,0.3,5.31,1.92,24,NA,0.07,1.82,1.67,0,0,0,91.28,NA,0,0,102,3.56,0,1.5,0.014,0.00096,0.015,0.027,0.297,0.474,0.00022,0.000115,3.49e-05,0.000113,6e-07,0.010875,0,2.2e-05,0.000259,0,0.00144,0,NA,NA,0,3e-06,0.013895,2.4e-05,2e-05,1e-04,0,NA,NA,NA,NA,0.007,2.4e-05,6.5e-05,0.000991,0.000309,9.8e-05,9e-06,0,0.0099,NA,0,2.8e-06,0,9e-06,9e-06,8e-04,0.01,0.041,0.027,0.038,0.041,0.008,0.014,0.04,0.02,0.027,0.031,0.022,0.041,0.202,0.645,0.029,0.023,0.039,NA,0,0,0,0,0.041,0,0,0,0,0,0,0.031,0.011,NA,0.043,0.115,0.005,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.045,0.121,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,5.31,5.31
"469","ND01391",1.2,0.3,5.31,1.92,24,NA,0.07,1.82,1.67,0,0,0,91.28,NA,0,0,102,3.56,0,1.5,0.014,0.00096,0.015,0.027,0.297,0.474,0.00022,0.000115,3.49e-05,0.000113,6e-07,0.010875,0,2.2e-05,0.000259,0,0.00144,0,NA,NA,0,3e-06,0.013895,2.4e-05,2e-05,1e-04,0,NA,NA,NA,NA,0.007,2.4e-05,6.5e-05,0.000991,0.000309,9.8e-05,9e-06,0,0.0099,NA,0,2.8e-06,0,9e-06,9e-06,8e-04,0.01,0.041,0.027,0.038,0.041,0.008,0.014,0.04,0.02,0.027,0.031,0.022,0.041,0.202,0.645,0.029,0.023,0.039,NA,0,0,0,0,0.041,0,0,0,0,0,0,0.031,0.011,NA,0.043,0.115,0.005,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.045,0.121,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,5.31,5.31
"470","ND01397",4.32,0.47,18.91,2.8,82,0.22,0.3,5.75,5.85,0,0.28,0,73.5,NA,0,0,343,12.18,0,4.1,0.036,0.00298,0.042,0.083,1.014,0.059,0.00063,0.000365,NA,0.000302,5.3e-06,0.038125,0,7.6e-05,0.000901,2.9e-05,0.0043,0,NA,NA,0,0,0.028764,0,0,0.00052,0,NA,NA,NA,NA,0.0219,6e-05,0.000153,0.003076,0.000142,0.000216,1.2e-05,0,0.0385,NA,0,1.14e-05,0,1.2e-05,1.2e-05,4e-04,0.031,0.133,0.089,0.124,0.134,0.027,0.046,0.13,0.066,0.088,0.102,0.071,0.133,0.661,2.11,0.095,0.075,0.126,NA,0,0,0,0,0.1,0,0,0,0,0,0.001,0.083,0.016,NA,0.064,0.152,0.007,0,0,NA,NA,0.002,0,0.001,0,0,0,NA,NA,NA,NA,0.067,0.16,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,18.91,18.91
"471","ND01399",4.32,0.47,18.91,2.8,82,0.22,0.3,5.75,5.85,0,0.28,0,73.5,NA,0,0,343,12.18,0,4.1,0.036,0.00298,0.042,0.083,1.014,0.059,0.00063,0.000365,NA,0.000302,5.3e-06,0.038125,0,7.6e-05,0.000901,2.9e-05,0.0043,0,NA,NA,0,0,0.028764,0,0,0.00052,0,NA,NA,NA,NA,0.0219,6e-05,0.000153,0.003076,0.000142,0.000216,1.2e-05,0,0.0385,NA,0,1.14e-05,0,1.2e-05,1.2e-05,4e-04,0.031,0.133,0.089,0.124,0.134,0.027,0.046,0.13,0.066,0.088,0.102,0.071,0.133,0.661,2.11,0.095,0.075,0.126,NA,0,0,0,0,0.1,0,0,0,0,0,0.001,0.083,0.016,NA,0.064,0.152,0.007,0,0,NA,NA,0.002,0,0.001,0,0,0,NA,NA,NA,NA,0.067,0.16,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,18.91,18.91
"472","ND01402",16.66,13.88,18.01,49.18,267,NA,NA,NA,NA,NA,NA,0,2.27,NA,0,0,1117,17.36,NA,0,0.187,0.00103,0.056,0.166,0.309,23.875,9e-05,0,NA,0.00015,2.8e-05,5e-05,0,0,0,0,0.00046,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.0011,1e-04,0.00043,0.00246,6e-04,1e-04,3.2e-05,3e-07,0.1146,NA,NA,0,0,3.2e-05,3.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.013,NA,3.43,0,0,0,0,0.01,0.01,2.56,0.66,NA,4.64,4.32,0.13,0.01,0,NA,NA,0.6,0,0.12,0,0,0,NA,NA,NA,NA,5.36,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.86,18.86
"473","ND01404",0.64,0.21,0.44,0.9,6,NA,NA,NA,NA,NA,NA,0,97.81,NA,0,0,26,0.43,NA,0,0.004,7e-05,0.001,0.004,0.018,0.371,7e-05,1.5e-05,NA,1.5e-05,4e-07,5e-05,0,0,1e-06,0,4e-05,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.1e-05,5.9e-05,0.000219,0,0,0,2e-08,0.001,NA,NA,0,0,0,0,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.002,NA,0.013,0,0,0,0,0,0,0.009,0.003,NA,0.016,0.008,0,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.019,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.44
"474","ND01410",0.64,0.21,0.44,0.9,6,NA,NA,NA,NA,NA,NA,0,97.81,NA,0,0,26,0.43,NA,0,0.004,7e-05,0.001,0.004,0.018,0.371,7e-05,1.5e-05,NA,1.5e-05,4e-07,5e-05,0,0,1e-06,0,4e-05,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.1e-05,5.9e-05,0.000219,0,0,0,2e-08,0.001,NA,NA,0,0,0,0,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.002,NA,0.013,0,0,0,0,0,0,0.009,0.003,NA,0.016,0.008,0,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.019,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.44
"475","ND01416",7.53,7.1,6.1,1.59,118,3.35,0.68,NA,0.42,NA,NA,0,77.68,NA,0,0,495,1.1,NA,0.5,0.03,0.00201,0.02,0.077,0.185,0.411,0.00112,0.000188,NA,0.000276,6.5e-06,0.006775,0,1.4e-05,0.000138,1.9e-05,0.00059,9e-04,NA,NA,1e-07,3e-05,0.000248,1.6e-05,NA,NA,NA,NA,NA,NA,NA,0.0018,3.1e-05,0.000111,0.001245,0.000157,0.000129,8e-06,1.02e-06,0.0422,NA,NA,2.2e-06,0,8e-06,8e-06,NA,NA,0.309,0.298,0.559,0.393,0.103,NA,0.284,0.188,0.378,0.406,0.168,0.522,0.636,1.24,0.625,0.457,0.332,NA,0,0,0.021,NA,2.255,0,0,0,0,0.015,0.164,1.26,0.687,0.011,2.057,0.408,0.052,0.024,0.001,0.008,0.054,0.241,0,0.047,0.002,0.004,0.008,NA,NA,NA,NA,2.469,0.501,0.03,0.075,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6.1
"476","ND01419",16.66,13.88,18.01,49.18,267,NA,NA,NA,NA,NA,NA,0,2.27,NA,0,0,1117,17.36,NA,0,0.187,0.00103,0.056,0.166,0.309,23.875,9e-05,0,NA,0.00015,2.8e-05,5e-05,0,0,0,0,0.00046,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.0011,1e-04,0.00043,0.00246,6e-04,1e-04,3.2e-05,3e-07,0.1146,NA,NA,0,0,3.2e-05,3.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.013,NA,3.43,0,0,0,0,0.01,0.01,2.56,0.66,NA,4.64,4.32,0.13,0.01,0,NA,NA,0.6,0,0.12,0,0,0,NA,NA,NA,NA,5.36,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.86,18.86
"477","ND01423",24.84,1.3,0,1.41,118,NA,NA,NA,NA,NA,NA,NA,73.36,NA,NA,NA,494,NA,NA,0,0.021,0.00114,0.037,0.143,0.475,0.053,0.00051,4.5e-05,NA,1.2e-05,4.68e-05,0.004125,5e-05,5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.1e-05,6e-06,0.000381,0.00087,0.00035,1e-05,6.9e-07,NA,NA,NA,NA,0,1e-05,1e-05,NA,0.278,1.089,1.145,2.019,2.282,0.735,0.266,0.97,0.839,1.28,1.487,0.731,1.503,2.544,3.709,1.193,0.878,1.014,NA,NA,NA,0.047,NA,0.299,NA,NA,NA,NA,NA,0.025,0.14,0.059,NA,0.086,0.018,NA,0.057,0.213,NA,NA,0.026,NA,NA,0.035,NA,0.017,NA,NA,NA,NA,0.268,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.735,1.735
"478","ND01426",23.59,7.39,0,2.47,167,0,NA,NA,NA,NA,NA,0,68.07,NA,0,0,701,0,NA,0,0.232,0.00065,0.031,0.338,0.314,0.408,0.00084,7.2e-05,NA,2.9e-05,3.43e-05,0.0046,5.5e-05,5.5e-05,0,0,0.00207,0.2523,0,2.1e-05,2.1e-05,0,0,0,1e-05,4e-05,0,0,0,0,0,0,3.2e-05,0.000212,0.007621,0.000535,0.000119,4e-06,5.5e-06,0.0826,NA,0,1e-07,0,4e-06,4e-06,0.0037,0.283,1.269,1.13,1.832,2.059,0.696,0.18,1.003,0.866,1.306,1.483,0.64,1.519,2.745,3.319,1.443,0.966,1.059,NA,0,0,0.079,0.04,1.44,0.004,0,0.001,0.008,0.003,0.231,0.971,0.164,0.01,1.335,0.134,0.059,0.027,0.749,0.003,0.004,0.323,0.112,0.737,0.518,0.072,0.139,NA,NA,NA,NA,2.494,1.783,0.027,0.016,0.001,0.011,0.014,0.002,0.013,NA,NA,0.004,0.006,0.02,NA,1.321,0.117,0.07,0.004,0.017,0.017,NA,NA,NA,0,0.054,0.009,0.008,NA,NA,NA,0.003,NA,1.5325,1.5325
"479","ND01432",24.62,4.21,0,1.9,136,0,0,0,0,0,0,0,70.63,NA,0,0,570,0,0,0,0.06,0.00057,0.024,0.253,0.326,0.378,0.00065,7.7e-05,NA,1.1e-05,3.96e-05,0.00165,2e-05,2e-05,0,0,0.00128,0.1689,0,1.41e-05,1.41e-05,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2.7e-05,0.000203,0.00743,NA,0.000105,4e-06,4.96e-06,0.088,NA,NA,1e-07,0,4e-06,4e-06,NA,0.266,1.28,1.146,1.877,2.113,0.693,0.191,1.014,0.891,1.321,1.546,0.652,1.57,3.092,3.487,1.516,1.041,1.087,NA,0,0,0.083,0.022,0.749,0.003,0,0.001,0.007,0.002,0.134,0.467,0.094,0.006,0.455,0.071,0.042,0.019,0.681,0.002,0.002,0.117,0.108,0.338,0.274,0.043,0.074,NA,NA,NA,NA,0.971,1.298,0.019,0.013,0.001,0.006,0.008,0.001,0.007,NA,NA,0.004,0.008,0.012,0.111,0.447,0.06,0.042,0.003,0.008,0.011,0.014,0.007,NA,0,0.039,0.006,0.005,NA,NA,NA,0.003,NA,0,0
"480","ND01436",24.62,11.45,0,3.38,208,NA,NA,NA,NA,NA,NA,0,59.61,NA,0,0,871,0,NA,0,0.382,0.00292,0.039,0.49,0.397,0.307,0.00131,0.000186,NA,0.000108,5.27e-05,0.0027,3.2e-05,3.2e-05,0,0,0.00204,0.0579,NA,4.8e-06,4.8e-06,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,8e-05,0.000227,0.005245,0.000642,0.000167,1e-05,8.94e-06,0.075,NA,NA,2.6e-06,0,1e-05,1e-05,NA,0.276,1.079,1.134,2.001,2.26,0.729,0.264,0.961,0.831,1.268,1.473,0.725,1.489,2.52,3.674,1.181,0.87,1.004,NA,0,0,0.142,NA,1.528,0,0,0,0,0,0.192,0.993,0.343,NA,2.145,3.543,0.498,0,0.509,NA,NA,0.22,0.125,0.423,0.473,1.081,0,NA,NA,NA,NA,3.869,5.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6175,1.6175
"481","ND01440",29.13,8.21,0,2.76,198,NA,NA,NA,NA,NA,NA,0,59.83,NA,0,0,830,0,NA,0,0.013,0.00139,0.031,0.311,0.207,0.416,9e-04,7.1e-05,3.1e-05,1.5e-05,7.6e-05,0.001925,2.3e-05,2.3e-05,0,0,0.00087,0.0807,NA,6.7e-06,6.7e-06,0,0,0,2e-05,0.00396,0.00124,5e-05,0,0,NA,0,3.8e-05,0.00012,0.0124,0.00037,0.00011,5e-06,2.2e-06,0.0293,NA,NA,4.4e-05,0,5e-06,5e-06,NA,0.326,1.277,1.342,2.368,2.675,0.862,0.312,1.137,0.983,1.501,1.743,0.858,1.762,2.983,4.349,1.398,1.03,1.189,NA,0,0,0.018,NA,1.534,0,0,0,0,0,0.027,1.415,0.092,NA,2.839,2.683,0.074,0,0.101,NA,NA,0.083,0,0.027,0.027,0,0,NA,NA,NA,NA,2.949,2.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8975,1.8975
"482","ND01441",19.44,0.96,0,0.95,86,0,0,0,0,0,0,0,78.14,NA,0,0,361,0,0,0,0.017,0.00163,0.023,0.139,0.179,0.247,0.00069,5e-05,1.86e-05,1.9e-05,7.06e-05,0.001425,1.7e-05,1.7e-05,0,0,0.00033,0.0141,NA,1.2e-06,1.2e-06,0,0,0,0,0,0,5e-05,0,NA,0,0,3e-05,8.4e-05,0.010136,0.000148,0.000319,4e-06,2.55e-06,0.0293,NA,0,2e-07,0,4e-06,4e-06,0.0027,0.209,0.817,0.858,1.514,1.711,0.551,0.2,0.727,0.629,0.959,1.115,0.548,1.127,1.907,2.78,0.894,0.659,0.76,NA,0,0,0.036,0.002,0.211,0,0,0,0.005,0,0.01,0.127,0.052,0.002,0.084,0.014,0.002,0.025,0.196,0.001,0,0.015,0.002,0.004,0.028,0,0.004,NA,NA,NA,NA,0.107,0.277,0.005,0.006,0.001,0.001,0,0,0,NA,NA,0,0.001,0.002,0.014,0.083,0.014,0,0,0.003,0.001,0.001,0,NA,0,0.002,0,0,NA,NA,NA,0.002,NA,0,0
"483","ND01450",23.62,2.97,0,1.46,128,NA,NA,NA,NA,NA,NA,0,73.19,NA,0,0,536,0,NA,0,0.014,0.00097,0.033,0.217,0.237,0.377,0.00048,3.9e-05,NA,1.9e-05,6.57e-05,5e-04,6e-06,6e-06,0,0,0.00085,0.024,NA,2e-06,2e-06,0,0,0,0,3e-05,2e-05,8e-05,0,0,NA,0,8e-06,4.4e-05,0.005799,0.000124,0.000217,2e-06,1.17e-06,0.0293,NA,NA,2.5e-06,0,2e-06,2e-06,NA,0.265,1.035,1.088,1.92,2.169,0.699,0.253,0.922,0.797,1.217,1.413,0.695,1.428,2.419,3.526,1.134,0.835,0.964,NA,0,0,0.042,NA,0.792,0,0,0,0,0,0.082,0.592,0.118,NA,0.518,0.055,0.071,0.051,0.629,NA,NA,0.144,0.051,0.078,0.233,0.044,0.018,NA,NA,NA,NA,0.784,1.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6975,1.6975
"484","ND01451",23.62,2.97,0,1.46,128,NA,NA,NA,NA,NA,NA,0,73.19,NA,0,0,536,0,NA,0,0.014,0.00097,0.033,0.217,0.237,0.377,0.00048,3.9e-05,NA,1.9e-05,6.57e-05,5e-04,6e-06,6e-06,0,0,0.00085,0.024,NA,2e-06,2e-06,0,0,0,0,3e-05,2e-05,8e-05,0,0,NA,0,8e-06,4.4e-05,0.005799,0.000124,0.000217,2e-06,1.17e-06,0.0293,NA,NA,2.5e-06,0,2e-06,2e-06,NA,0.265,1.035,1.088,1.92,2.169,0.699,0.253,0.922,0.797,1.217,1.413,0.695,1.428,2.419,3.526,1.134,0.835,0.964,NA,0,0,0.042,NA,0.792,0,0,0,0,0,0.082,0.592,0.118,NA,0.518,0.055,0.071,0.051,0.629,NA,NA,0.144,0.051,0.078,0.233,0.044,0.018,NA,NA,NA,NA,0.784,1.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6975,1.6975
"485","ND01452",29.13,8.21,0,2.76,198,NA,NA,NA,NA,NA,NA,0,59.83,NA,0,0,830,0,NA,0,0.013,0.00139,0.031,0.311,0.207,0.416,9e-04,7.1e-05,3.1e-05,1.5e-05,7.6e-05,0.001925,2.3e-05,2.3e-05,0,0,0.00087,0.0807,NA,6.7e-06,6.7e-06,0,0,0,2e-05,0.00396,0.00124,5e-05,0,0,NA,0,3.8e-05,0.00012,0.0124,0.00037,0.00011,5e-06,2.2e-06,0.0293,NA,NA,4.4e-05,0,5e-06,5e-06,NA,0.326,1.277,1.342,2.368,2.675,0.862,0.312,1.137,0.983,1.501,1.743,0.858,1.762,2.983,4.349,1.398,1.03,1.189,NA,0,0,0.018,NA,1.534,0,0,0,0,0,0.027,1.415,0.092,NA,2.839,2.683,0.074,0,0.101,NA,NA,0.083,0,0.027,0.027,0,0,NA,NA,NA,NA,2.949,2.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8975,1.8975
