PRODUCTNDID	USDA ID	NDID FOR USDA PRODUCTS	WhatnumberofBP	%OFPRODUCT	
ND01699	11128	ND04849	1	1	
ND01700	11128	ND04849	1	1	
RNFD00584	11128	ND04849	1	1	
RNFD00590	11128	ND04849	1	1	
None	11131	ND04851			
None	11162	ND04872			
ND00183	11168	ND04877	1	0.333333333	
ND00188	11168	ND04877	1	1	
ND00191	11168	ND04877	2	0.5	
RNFD00680	11168	ND04877	2	0.5	
RNFD00714	11168	ND04877	2	0.5	
RNFD02783	11168	ND04877	1	1	
ND01779	11172	ND04879	1	1	
ND01780	11172	ND04879	1	1	
ND01783	11172	ND04879	1	1	
RNFD00561	11172	ND04879	1	1	
RNFD00562	11172	ND04879	1	1	
RNFD01093	11172	ND04879	1	0.5	
RNFD01100	11172	ND04879	1	0.5	
None	11234	ND04925			
None	11261	ND04949			
ND01766	11264	ND04951	1	1	
RNFD01039	11264	ND04951	1	1	
None	11265	ND04952			
None	11270	ND04957			
None	11270	ND04957			
None	11271	ND04958			
ND01670	11278	ND04965	1	1	
RNFD02150	11278	ND04965	1	1	
None	11279	ND04966			
ND01479	11296	ND04981	1	1	
RNFD01094	11301	ND04984	1	1	
RNFD00565	11308	ND04989	1	1	
ND01671	11311	ND04991	1	1	
ND01672	11311	ND04991	1	1	
ND01676	11311	ND04991	1	1	
RNFD02063	11311	ND04991	1	1	
RNFD02407	11352	ND05014	1	1	
None	11357	ND05019			
ND01719	11370	ND05030	1	1	
None	11372	ND05032			
RNFD02710	11378	ND05036	1	1	
RNFD02741	11378	ND05036	1	1	
None	11414	ND05068			
ND00183	11423	ND05073	3	0.333333333	
ND01706	11424	ND05074	1	1	
None	11436	ND05081			
RNFD00361	11439	ND05084	1	1	
RNFD00455	11439	ND05084	1	1	
RNFD02229	11442	ND05085	1	1	
ND00169	11458	ND05096	1	0.333333333	
ND00186	11458	ND05096	1	0.333333333	
RNFD00706	11458	ND05096	2	0.5	
ND01687	11461	ND05098	1	1	
RNFD00595	11461	ND05098	1	1	
RNFD02659	11461	ND05098	1	1	
RNFD02330	11467	ND05101	1	1	
ND00169	11478	ND05108	2	0.333333333	
None	11486	ND05114			
ND01757	11531	ND05146	1	1	
RNFD02117	11531	ND05146	1	1	
ND01397	11546	ND05150	1	1	
ND01399	11546	ND05150	1	1	
ND01389	11549	ND05153	1	1	
ND01390	11549	ND05153	1	1	
ND01391	11549	ND05153	1	1	
RNFD01068	11549	ND05153	1	1	
RNFD00363	11568	ND05161	1	1	
ND01711	11581	ND05170	1	1	
None	11602	ND05185			
RNFD02785	11698	ND05236	1	1	
RNFD00573	11714	ND05248	1	1	
None	11729	ND05263			
RNFD00152	11752	ND05286	1	1	
None	11760	ND05294			
None	11846	ND05377			
ND01793	11857	ND05388	1	1	
ND00257	11886	ND05415	1	1	
ND01291	11935	ND05462	1	1	
ND01292	11935	ND05462	1	1	
ND01293	11935	ND05462	1	1	
RNFD01138	11935	ND05462	1	1	
ND01714	11937	ND05463	1	1	
ND01717	11937	ND05463	1	1	
ND01718	11937	ND05463	1	1	
RNFD02554	11940	ND05465	1	1	
None	11941	ND05466			
None	11979	ND05499			
ND01280	12038	ND05536	1	1	
ND01218	12061	ND05543	1	1	
ND01220	12061	ND05543	1	1	
ND01228	12061	ND05543	1	1	
ND01268	12061	ND05543	1	1	
RNFD01961	12061	ND05543	1	1	
RNFD02007	12061	ND05543	1	1	
None	12078	ND05549			
ND01234	12108	ND05565	1	1	
ND01267	12108	ND05565	1	1	
RNFD00318	12108	ND05565	1	1	
RNFD00408	12118	ND05572	1	1	
ND01266	12142	ND05587	1	1	
ND01276	12142	ND05587	1	1	
RNFD02116	12142	ND05587	1	1	
RNFD02306	12142	ND05587	1	1	
ND01284	12155	ND05596	1	1	
ND01286	12155	ND05596	1	1	
ND01269	12220	ND05621	1	1	
RNFD02399	12220	ND05621	1	1	
RNFD00541	12537	ND05625	1	1	
RNFD02764	12537	ND05625	1	1	
RNFD01040	12563	ND05629	1	1	
ND01235	12132	ND05635	1	1	
RNFD01612	12132	ND05635	1	1	
None	13317	ND05681			
None	13347	ND05709			
None	13373	ND05734			
None	13398	ND05754			
None	13411	ND05763			
None	13415	ND05766			
ND01121	13418	ND05769	1	1	
None	13442	ND05786			
None	13445	ND05789			
RNFD02342	13451	ND05795	1	1	
RNFD02344	13451	ND05795	1	1	
None	13479	ND05814			
None	13860	ND05911			
None	13918	ND05968			
None	13919	ND05969			
None	13929	ND05979			
None	13930	ND05980			
ND00717	14058	ND06061	4	0.2	
ND00719	14058	ND06061	4	0.2	
ND00746	14058	ND06061	1	1	
RNFD02772	14058	ND06061	1	1	
RNFD02813	14058	ND06061	1	1	
ND00740	14062	ND06065	1	1	
ND00296	14143	ND06121	1	1	
ND00299	14143	ND06121	1	1	
RNFD00605	14143	ND06121	1	1	
RNFD00632	14143	ND06121	1	1	
None	14144	ND06122			
RNFD00616	14146	ND06124	1	1	
ND00305	14151	ND06129	1	1	
ND01611	14181	ND06143	1	1	
RNFD01753	14242	ND06167	1	1	
RNFD01334	14282	ND06177	1	1	
ND00271	14287	ND06178	1	1	
ND00281	14287	ND06178	1	1	
None	14288	ND06179			
None	14366	ND06206			
None	14367	ND06207			
None	14368	ND06208			
RNFD02876	14462	ND06250	1	1	
RNFD02448	14538	ND06260	1	1	
None	15028	ND06349			
None	15028	ND06349			
None	15029	ND06350			
ND01423	15032	ND06352	1	1	
RNFD02871	15036	ND06356	1	1	
None	15077	ND06397			
ND01426	15087	ND06407	1	1	
RNFD02193	15087	ND06407	1	1	
ND01436	15088	ND06408	1	1	
None	15114	ND06433			
None	15117	ND06436			
ND01440	15119	ND06438	1	1	
ND01452	15119	ND06438	1	1	
RNFD00428	15119	ND06438	1	1	
RNFD00429	15119	ND06438	1	1	
RNFD02336	15119	ND06438	1	1	
ND01441	15121	ND06439	1	1	
RNFD00353	15121	ND06439	1	1	
ND01450	15126	ND06442	1	1	
ND01451	15126	ND06442	1	1	
RNFD00350	15126	ND06442	1	1	
RNFD00356	15126	ND06442	1	1	
RNFD00349	15141	ND06456	1	1	
RNFD01800	15141	ND06456	1	1	
RNFD01437	15151	ND06465	1	1	
ND01459	15152	ND06466	1	1	
RNFD01618	15194	ND06507	1	1	
None	15237	ND06548			
None	15262	ND06564			
ND01432	15265	ND06566	1	1	
RNFD00435	15265	ND06566	1	1	
None	16005	ND06580			
ND01762	16018	ND06591	1	1	
RNFD02766	16029	ND06602	1	1	
None	16059	ND06632			
ND01274	16090	ND06662	1	1	
ND01251	16097	ND06669	1	1	
ND01262	16097	ND06669	1	1	
ND01250	16098	ND06670	1	1	
ND01254	16098	ND06670	1	1	
ND01257	16098	ND06670	1	1	
ND01258	16098	ND06670	1	1	
ND01260	16098	ND06670	1	1	
ND01264	16098	ND06670	1	1	
RNFD01622	16098	ND06670	1	1	
RNFD01939	16098	ND06670	1	1	
