PRODUCTNDID	USDA ID	NDID FOR USDA PRODUCTS	WhatnumberofBP	%OFPRODUCT	
ND01908	No base product		1	1	
ND01911	No base product		1	1	
ND01923	No base product		1	1	
ND01927	No base product		1	1	
ND01931	No base product		1	1	
ND10475	No base product		1	1	
RNFD00462	No base product		1	1	
RNFD01718	No base product		1	1	
RNFD02704	No base product		1	1	
RNFD02705	No base product		1	1	
RNFD02708	No base product		1	1	
RNFD02711	No base product		1	1	
RNFD02712	No base product		1	1	
RNFD02713	No base product		1	1	
RNFD02714	No base product		1	1	
RNFD02715	No base product		1	1	
RNFD02716	No base product		1	1	
RNFD02717	No base product		1	1	
RNFD02718	No base product		1	1	
RNFD02719	No base product		1	1	
RNFD02720	No base product		1	1	
RNFD02721	No base product		1	1	
RNFD02722	No base product		1	1	
RNFD02723	No base product		1	1	
RNFD02726	No base product		1	1	
RNFD02727	No base product		1	1	
RNFD02728	No base product		1	1	
RNFD02729	No base product		1	1	
RNFD02732	No base product		1	1	
RNFD02733	No base product		1	1	
RNFD02734	No base product		1	1	
RNFD02735	No base product		1	1	
RNFD02736	No base product		1	1	
RNFD02747	No base product		1	1	
RNFD02748	No base product		1	1	
RNFD02752	No base product		1	1	
RNFD02761	No base product		1	1	
RNFD02770	No base product		1	1	
RNFD02773	No base product		1	1	
RNFD02775	No base product		1	1	
RNFD02776	No base product		1	1	
RNFD02777	No base product		1	1	
RNFD02778	No base product		1	1	
RNFD02779	No base product		1	1	
RNFD02780	No base product		1	1	
RNFD02781	No base product		1	1	
RNFD02800	No base product		1	1	
RNFD02801	No base product		1	1	
RNFD02802	No base product		1	1	
RNFD02805	No base product		1	1	
RNFD02810	No base product		1	1	
RNFD02820	No base product		1	1	
RNFD02823	No base product		1	1	
RNFD02825	No base product		1	1	
RNFD02827	No base product		1	1	
RNFD02828	No base product		1	1	
RNFD02829	No base product		1	1	
RNFD02830	No base product		1	1	
RNFD02831	No base product		1	1	
RNFD02832	No base product		1	1	
RNFD02834	No base product		1	1	
RNFD02835	No base product		1	1	
RNFD02837	No base product		1	1	
RNFD02838	No base product		1	1	
RNFD02839	No base product		1	1	
RNFD02853	No base product		1	1	
RNFD02854	No base product		1	1	
RNFD02857	No base product		1	1	
RNFD02859	No base product		1	1	
RNFD02860	No base product		1	1	
RNFD02862	No base product		1	1	
RNFD02863	No base product		1	1	
RNFD02864	No base product		1	1	
RNFD02865	No base product		1	1	
RNFD02873	No base product		1	1	
RNFD02874	No base product		1	1	
RNFD02877	No base product		1	1	
RNFD02886	No base product		1	1	
RNFD02889	No base product		1	1	
RNFD02890	No base product		1	1	
RNFD02891	No base product		1	1	
RNFD02894	No base product		1	1	
RNFD02895	No base product		1	1	
RNFD02896	No base product		1	1	
RNFD02900	No base product		1	1	
RNFD02897	No base product		but we need an amount?????????????????		ScEa
RNFD02898	No base product		vitamin E but we need an amount??????????		ScEa
	Turkey dark meat	ND03121			
RNFD02754	No base product			DHA	ScEa
	"Lobster, northern, cooked moist heat"	ND06463			
	"Catfish, channel, farmed, cooked, dry heat"	ND06547			
	"Veal, loin, lean only, roasted"	ND07044			
RNFD02756	Members Mark Dietary Supplement (Multivitamin)				ScEa
	"Salmon, fresh, Atlantic, farmed, cooked"	RNFD00737			
RNFD02755				Lecithin	ScEa
RNFD01489	Kraft Deli Deluxe American Cheese Slices (8 pack)				
	"Shrimp, cooked moist heat"	RNFD00500			
Lays regular potato chips 		RNFD02893 			
Leader Calcium 500 mg + D 400 IU					
	"Sweeteners, tabletop, sucralose, SPLENDA packets"	RNFD02441			
	Tea	RNFD01580			
	"Turkey, from whole, dark meat, cooked, roasted"	RNFD02509			
RNFD02724	No base product			Biotin	ScEa
RNFD01320	Jones All Natural Pork Sausages (8 patties)				
RNFD02541	Velveeta				
RNFD02725	No base product			Thiamin	ScEa
					
					
					
					
	More N/A's: 	#N/A			
 Th sc	ND00356	#N/A	argentinasss		
 Th sc	ND00370	#N/A			
 Th sc	ND00426	#N/A			
 Th sc	ND00472	#N/A			
 Th sc	ND00608	#N/A			
 Th sc	ND00818	#N/A			
 Th sc	ND00833	#N/A			
 Th sc	ND00945	#N/A			
 Th sc	ND00967	#N/A			
 Th sc	ND01051	#N/A			
 Th sc	ND01093	#N/A			
 Th sc	ND01204	#N/A			
	ND03121	#N/A			
	ND04947	#N/A			
	ND06463	#N/A			
	ND06547	#N/A			
	ND07044	#N/A			
	RNFD00500	#N/A			
 Th sc	RNFD00570	#N/A			
	RNFD00737	#N/A			
	RNFD01320	#N/A			
	RNFD01489	#N/A			
	RNFD02541	#N/A			
	RNFD02724	#N/A			
	RNFD02725	#N/A			
	RNFD02754	#N/A			
	RNFD02755	#N/A			
	RNFD02756	#N/A			
	RNFD0282	#N/A			
 Th sc	RNFD02821	#N/A			
 Th sc	RNFD02872	#N/A			
	RNFD02889 	#N/A			
	RNFD02897	#N/A			
	RNFD02898	#N/A			
